rxnid	mass balance	charge balance	composite
ALDD19xr	0.0	0.0	False
HTHBDH_m	0.0	0.0	False
PPND2	0.0	0.0	False
ALATRAM	0.0	0.0	False
TYRTAi	0.0	0.0	False
TYRTAip	0.0	0.0	False
TYRTA	0.0	0.0	False
TYRTA2	0.0	0.0	False
34HPPOR	0.0	0.0	False
HGNTOR	0.0	0.0	False
MACACI	0.0	0.0	False
FUMAC	0.0	0.0	False
HPPDC	0.0	0.0	False
TYRSLDHy	0.0	0.0	False
TYRSLDHx	0.0	0.0	False
TYRSLDHxm	0.0	0.0	False
4HALDD	0.0	0.0	False
34HPPRy	0.0	0.0	False
ANS	0.0	0.0	False
ANPRT	0.0	0.0	False
PRAIi	0.0	0.0	False
IGPS	0.0	0.0	False
TRPS1	0.0	0.0	False
TRPTA	0.0	0.0	False
TRPTA2	0.0	0.0	False
INDPYRD	0.0	0.0	False
ALCD26yi	0.0	0.0	False
ALCD26xi	0.0	0.0	False
ALCD26xim	0.0	0.0	False
ALDD20x	0.0	0.0	False
TRPO2	0.0	0.0	False
FKYNH	0.0	0.0	False
KYN3OX	0.0	0.0	False
HKYNH	0.0	0.0	False
3HAO	0.0	0.0	False
QUILSYN	-0.0	0.0	False
KYN	0.0	0.0	False
KYNAKGAT	0.0	0.0	False
KYNAKGAT2	0.0	0.0	False
KYNAKGAT3	0.0	0.0	False
KYNATESYN	-0.0	0.0	False
KYNAKGAT3m	0.0	0.0	False
KYNATESYNm	-0.0	0.0	False
KYNURRXN	-0.0	0.0	False
3HKYNAKGAT	0.0	0.0	False
3HKYN2OADPAT	0.0	0.0	False
r0647	-0.0	0.0	False
TRPHYDROXY	0.0	0.0	False
LTDCL	0.0	0.0	False
TRPAHYDOXL	0.0	0.0	False
SRTNACT	0.0	0.0	False
ACSRTNMT	-0.0	0.0	False
HSERTA	0.0	0.0	False
AHSERL2	0.0	0.0	False
HSAT_m	0.0	0.0	False
HSSTm	0.0	0.0	False
CYSTS	-0.0	0.0	False
CYSTGL	0.0	0.0	False
SATm	0.0	0.0	False
SERAT	0.0	0.0	False
CYSS	0.0	0.0	False
SSTm	0.0	0.0	False
CYSKm	0.0	0.0	False
CYSS_m	0.0	0.0	False
SHSL4r	0.0	0.0	False
SHSL1	0.0	0.0	False
METB1	0.0	0.0	False
CYSTL	0.0	0.0	False
CYSTLx	0.0	0.0	False
CYSO	-0.0	0.0	False
3SALATAi	0.0	0.0	False
3SPYRSP	0.0	0.0	False
5MTHFAT	0.0	0.0	False
MHPGLUT	0.0	0.0	False
AHSERL	0.0	0.0	False
HPGLUH	0.0	0.0	False
METAT	0.0	0.0	False
HCYSMT	0.0	0.0	False
AHCi	-0.0	0.0	False
ADMDC	-0.0	0.0	False
ORNDC	0.0	0.0	False
SPMS	0.0	0.0	False
SPRMS	0.0	0.0	False
MTAP	0.0	0.0	False
MTRI	0.0	0.0	False
MDRPD	0.0	0.0	False
DKMPPD3_1	0.0	0.0	False
ACDO	0.0	0.0	False
UNK3	0.0	0.0	False
UNK1	0.0	0.0	False
METSR_S1	N/A	0.0	False
METH	0.0	0.0	False
PHYPYRTM	0.0	0.0	False
4M2OBTDC	0.0	0.0	False
METINLDHx	0.0	0.0	False
3MPPALDH	0.0	0.0	False
DALAOXx	0.0	0.0	False
DASPO1p	0.0	0.0	False
3HASPL	-0.0	0.0	False
TAUDO	0.0	0.0	False
TMLYSOX	0.0	0.0	False
GHMT3m	0.0	0.0	False
TMABADH	0.0	0.0	False
BBHOXm	0.0	0.0	False
ALCD3ir	-0.0	0.0	False
ALCD3irm	-0.0	0.0	False
ALCD3iry	0.0	0.0	False
ALCD4	-0.0	0.0	False
ALCD4y	-0.0	0.0	False
ALD5	0.0	0.0	False
ALD5y	0.0	0.0	False
ALD6y	0.0	0.0	False
ALD7y	0.0	0.0	False
ALD8	0.0	0.0	False
ALD8y	0.0	0.0	False
S2BDy	0.0	0.0	False
ALCD20x	-0.0	0.0	False
ALCD20y	0.0	0.0	False
R2BDx	-0.0	0.0	False
R2BDy	-0.0	0.0	False
ALD5_2x	0.0	0.0	False
ALD5_2y	0.0	0.0	False
ALD5_3x	0.0	0.0	False
ALD8_2Sx	0.0	0.0	False
ALD8_2Sy	0.0	0.0	False
PHEETODOLDy	0.0	0.0	False
S13BDODx	-0.0	0.0	False
PHEETOHD	0.0	0.0	False
ANSIAD	0.0	0.0	False
VERATAD	0.0	0.0	False
HMFRy	0.0	0.0	False
FFALy	0.0	0.0	False
BDHy	-0.0	0.0	False
BSDHy	0.0	0.0	False
ER01	0.0	0.0	False
ER02	0.0	0.0	False
ER03	0.0	0.0	False
ER04	0.0	0.0	False
ER05	0.0	0.0	False
ER06	0.0	0.0	False
ER07	0.0	0.0	False
ER08	0.0	0.0	False
GLUPRT	0.0	0.0	False
PRAGSr	-0.0	0.0	False
GARFT	0.0	0.0	False
PRFGS	0.0	0.0	False
PRAIS_1	-0.0	0.0	False
PRAIC	0.0	0.0	False
PRASCSi	-0.0	0.0	False
ADSL2r	0.0	0.0	False
AICART	0.0	0.0	False
IMPC	0.0	0.0	False
ADSS	0.0	0.0	False
ADSL1r	0.0	0.0	False
ADK1	0.0	0.0	False
ADK1m	0.0	0.0	False
RNDR1	N/A	0.0	False
RNTR1	N/A	0.0	False
DADK	0.0	0.0	False
NDPK8	-0.0	0.0	False
PUNP1	0.0	0.0	False
PUNP2	0.0	0.0	False
PUNP6	0.0	0.0	False
ADA	-0.0	0.0	False
PUNP5	0.0	0.0	False
HXPRT	0.0	0.0	False
ADNUC	0.0	0.0	False
ADPT	0.0	0.0	False
NTD7e	-0.0	0.0	False
ADNK1	-0.0	0.0	False
NDP1	0.0	0.0	False
NTD6e	0.0	0.0	False
DADA	0.0	0.0	False
ADPRDP	0.0	0.0	False
AMPDA	-0.0	0.0	False
NDPK9	0.0	0.0	False
NTP10	0.0	0.0	False
IDPA	-0.0	0.0	False
NTD11	0.0	0.0	False
NTD11e	0.0	0.0	False
INSK	0.0	0.0	False
ADD	0.0	0.0	False
HXAND	0.0	0.0	False
NTD10e	0.0	0.0	False
PUNP7	0.0	0.0	False
XPPT	0.0	0.0	False
IMPD	0.0	0.0	False
GMPS2	0.0	0.0	False
GK1	0.0	0.0	False
NDPK1	0.0	0.0	False
ADK3m	-0.0	0.0	False
RNDR2	N/A	0.0	False
RNTR2	N/A	0.0	False
DGK1	0.0	0.0	False
NDPK5	0.0	0.0	False
PUNP3	0.0	0.0	False
PUNP3m	0.0	0.0	False
PUNP4	0.0	0.0	False
GNNUC	0.0	0.0	False
GUAPRT	0.0	0.0	False
NTD9e	-0.0	0.0	False
GSNK	0.0	0.0	False
GUAD	0.0	0.0	False
NTD8e	-0.0	0.0	False
NTP3	0.0	0.0	False
NTPP2	0.0	0.0	False
NDP3	0.0	0.0	False
NTPP1	0.0	0.0	False
GK2	0.0	0.0	False
ASPCT	-0.0	0.0	False
DHORTS	0.0	0.0	False
DHORDfum	0.0	0.0	False
DHORD4i	-0.0	0.0	False
ORPT	0.0	0.0	False
OMPDC	0.0	0.0	False
UMPK	0.0	0.0	False
UMPKm	0.0	0.0	False
NDPK2	0.0	0.0	False
NDPK2m	0.0	0.0	False
RNDR4	N/A	0.0	False
RNTR4	N/A	0.0	False
NDPK6	0.0	0.0	False
DUTPDP	0.0	0.0	False
URIDK2r	-0.0	0.0	False
URIDK2m	-0.0	0.0	False
URIH	0.0	0.0	False
UPPRT	0.0	0.0	False
NTD2e	-0.0	0.0	False
URIK1	0.0	0.0	False
URIK2	0.0	0.0	False
NTP7	0.0	0.0	False
NTPP8	0.0	0.0	False
NDP7	0.0	0.0	False
NTD1e	0.0	0.0	False
DURIK1	-0.0	0.0	False
DURIPP	0.0	0.0	False
TMDS	0.0	0.0	False
DTMPK	0.0	0.0	False
NDPK4	0.0	0.0	False
TMDK1	-0.0	0.0	False
NTD5e	0.0	0.0	False
TMDPP	0.0	0.0	False
CTPS2	0.0	0.0	False
CYTK1	0.0	0.0	False
CYTK1m	0.0	0.0	False
NDPK3	-0.0	0.0	False
RNTR3	N/A	0.0	False
RNDR3	N/A	0.0	False
CYTK2	0.0	0.0	False
CYTK2m	0.0	0.0	False
NDPK7	0.0	0.0	False
NTD4	-0.0	0.0	False
NTD4e	-0.0	0.0	False
CYTDK1	-0.0	0.0	False
CYTDK2	0.0	0.0	False
NTP5	0.0	0.0	False
CDPPH	0.0	0.0	False
CMPN	-0.0	0.0	False
CSND	0.0	0.0	False
CYTD	-0.0	0.0	False
DCYTD	0.0	0.0	False
DCMPDA	-0.0	0.0	False
NTD3e	-0.0	0.0	False
ADNCYC	0.0	0.0	False
PDE1	0.0	0.0	False
GUACYC	0.0	0.0	False
PDE4	0.0	0.0	False
AP4AH1	0.0	0.0	False
AP4AH	0.0	0.0	False
NTETPG	0.0	0.0	False
NTETPX	-0.0	0.0	False
